fname,structure,h_min,w_min,h_max,w_max
120.png,thalami,193,199,267,303
120.png,CM,366,258,389,357
120.png,IT,328,233,360,318
120.png,midbrain,270,180,363,267
120.png,NT,378,271,436,658
120.png,palate,161,354,233,460
120.png,nasal skin,117,378,127,407
120.png,nasal tip,112,401,121,436
192.png,IT,335,233,371,317
192.png,NT,406,250,440,609
192.png,CM,375,232,403,347
192.png,thalami,202,215,279,305
192.png,midbrain,283,204,375,263
192.png,palate,183,341,250,436
193.png,IT,323,190,352,253
193.png,CM,350,167,375,264
193.png,midbrain,302,147,356,207
193.png,thalami,232,137,304,221
193.png,nasal tip,135,269,142,290
193.png,NT,376,147,409,362
193.png,nasal bone,150,241,164,268
193.png,nasal skin,141,244,149,269
195.png,nasal bone,113,316,125,359
195.png,palate,143,267,216,370
195.png,thalami,177,396,254,500
195.png,NT,323,5,404,460
195.png,midbrain,256,447,341,512
195.png,IT,299,401,338,462
195.png,CM,337,374,370,486
196.png,CM,370,286,391,437
196.png,thalami,184,332,275,440
196.png,IT,327,322,366,409
196.png,NT,394,3,430,385
196.png,palate,161,193,232,292
196.png,midbrain,279,391,372,462
197.png,nasal tip,89,298,99,331
197.png,nasal bone,101,277,114,310
197.png,midbrain,272,107,362,167
197.png,NT,372,144,433,628
197.png,IT,308,153,358,228
197.png,CM,360,168,379,240
197.png,thalami,161,119,269,225
13.png,palate,154,245,214,348
13.png,nasal tip,108,281,113,298
13.png,nasal bone,119,297,130,333
13.png,nasal skin,112,300,118,322
13.png,thalami,191,392,258,479
13.png,CM,343,345,365,451
13.png,IT,311,376,339,425
13.png,midbrain,260,413,348,470
13.png,NT,382,1,420,431
1536.png,thalami,173,400,245,491
1536.png,NT,340,7,400,500
1536.png,midbrain,241,417,322,470
1536.png,IT,295,373,321,436
1536.png,CM,328,308,362,424
1536.png,palate,127,267,196,362
1536.png,nasal bone,90,301,104,338
1536.png,nasal skin,82,306,89,327
1536.png,nasal tip,73,285,82,304
842.png,nasal skin,131,374,136,398
842.png,palate,172,339,239,437
842.png,nasal bone,137,361,151,404
842.png,CM,362,239,380,311
842.png,IT,326,253,358,309
842.png,midbrain,278,209,356,267
842.png,NT,404,266,421,413
842.png,thalami,198,210,273,304
843.png,palate,194,288,240,359
843.png,nasal bone,173,294,184,324
843.png,midbrain,258,197,316,233
843.png,NT,342,254,357,331
843.png,thalami,207,198,254,247
843.png,CM,315,211,330,284
843.png,IT,292,226,313,259
198.png,thalami,176,385,255,484
198.png,nasal skin,80,286,89,315
198.png,nasal bone,90,279,104,318
198.png,palate,126,239,198,335
198.png,NT,390,192,423,435
198.png,midbrain,257,413,357,481
198.png,IT,308,355,352,433
198.png,CM,341,345,369,416
198.png,nasal tip,73,255,84,288
199.png,NT,408,379,436,611
199.png,midbrain,310,197,389,270
199.png,IT,352,245,383,320
199.png,CM,385,243,422,361
199.png,thalami,229,197,309,293
199.png,nasal tip,131,361,142,390
199.png,nasal bone,152,332,164,370
199.png,palate,175,327,248,416
199.png,nasal skin,140,336,151,365
200.png,CM,342,250,377,348
200.png,IT,308,238,339,304
200.png,midbrain,246,179,344,257
200.png,NT,383,202,412,441
200.png,thalami,170,213,241,301
200.png,nasal bone,115,374,127,410
200.png,nasal skin,105,390,114,412
200.png,nasal tip,101,405,110,431
201.png,CM,303,342,335,447
201.png,nasal skin,67,321,77,351
201.png,nasal tip,56,284,65,320
201.png,thalami,171,382,234,477
201.png,NT,287,3,334,264
201.png,midbrain,235,401,308,458
201.png,nasal bone,78,319,90,349
201.png,IT,281,355,308,416
202.png,midbrain,263,426,348,482
202.png,nasal skin,98,288,107,321
202.png,nasal bone,111,289,126,322
202.png,palate,145,231,214,352
202.png,thalami,189,396,260,483
202.png,NT,383,100,406,474
202.png,IT,320,371,351,437
202.png,CM,344,333,374,442
202.png,nasal tip,97,269,104,298
203.png,thalami,130,363,191,432
203.png,NT,283,214,307,350
203.png,midbrain,195,385,264,437
203.png,IT,229,336,257,383
203.png,CM,259,314,281,386
203.png,nasal bone,75,273,88,302
203.png,nasal tip,61,253,71,274
203.png,palate,98,223,165,325
14.png,CM,367,321,388,401
14.png,nasal skin,134,416,140,448
14.png,nasal bone,141,405,154,448
14.png,palate,177,393,234,488
14.png,thalami,212,268,288,362
14.png,NT,414,329,447,639
14.png,midbrain,286,254,370,332
14.png,IT,338,306,365,348
14.png,nasal tip,131,436,136,468
844.png,midbrain,253,456,344,537
844.png,IT,307,407,339,480
844.png,CM,342,360,370,500
844.png,nasal tip,108,297,118,330
844.png,nasal bone,118,317,132,360
844.png,palate,152,274,213,378
844.png,thalami,183,422,248,511
844.png,NT,382,249,409,398
845.png,IT,265,356,294,413
845.png,midbrain,209,402,298,461
845.png,NT,340,8,398,442
845.png,thalami,145,376,207,456
845.png,nasal tip,69,279,76,301
845.png,nasal skin,74,296,80,319
845.png,nasal bone,83,296,93,331
845.png,palate,120,255,180,345
845.png,CM,284,357,329,481
121.png,nasal tip,157,333,164,352
121.png,palate,193,309,244,382
121.png,CM,345,380,366,452
121.png,midbrain,274,448,343,495
121.png,NT,337,32,395,461
121.png,IT,315,409,339,466
121.png,thalami,211,417,270,491
204.png,NT,409,224,437,452
204.png,nasal tip,141,264,148,288
204.png,midbrain,304,390,383,463
204.png,thalami,237,366,309,456
204.png,IT,342,351,380,405
204.png,nasal skin,147,293,154,318
204.png,nasal bone,156,286,168,321
204.png,CM,370,303,405,410
205.png,nasal tip,71,245,78,272
205.png,palate,111,219,176,306
205.png,nasal bone,86,273,98,306
205.png,CM,306,299,346,386
205.png,IT,280,329,303,384
205.png,midbrain,238,375,309,421
205.png,NT,328,5,370,415
205.png,thalami,167,362,236,434
205.png,nasal skin,79,276,87,301
206.png,thalami,205,393,261,475
206.png,midbrain,267,432,341,495
206.png,IT,315,365,341,438
206.png,CM,343,356,365,436
206.png,nasal skin,140,303,147,325
206.png,palate,181,277,232,354
206.png,nasal tip,139,291,144,315
206.png,NT,350,86,394,403
206.png,nasal bone,148,301,158,340
207.png,thalami,173,425,251,523
207.png,midbrain,255,455,349,517
207.png,IT,311,408,344,464
207.png,CM,346,371,369,547
207.png,nasal tip,87,293,94,328
207.png,nasal skin,88,324,96,352
207.png,nasal bone,98,323,112,362
207.png,palate,137,273,194,384
207.png,NT,378,161,405,435
208.png,nasal tip,219,189,224,204
208.png,nasal skin,222,200,227,211
208.png,nasal bone,228,205,234,218
208.png,palate,247,177,282,232
208.png,NT,377,174,393,284
208.png,CM,355,238,371,284
208.png,IT,332,249,358,302
208.png,midbrain,307,290,360,324
208.png,thalami,262,259,309,316
209.png,CM,344,248,369,329
209.png,palate,141,332,216,444
209.png,nasal bone,103,350,118,397
209.png,nasal skin,96,371,105,396
209.png,nasal tip,93,384,103,421
209.png,IT,307,234,338,319
209.png,midbrain,248,192,335,261
209.png,NT,385,224,417,438
209.png,thalami,169,206,241,298
15.png,palate,185,291,246,388
15.png,nasal tip,143,339,150,360
15.png,nasal skin,146,325,153,345
15.png,midbrain,279,144,360,220
15.png,thalami,207,159,276,247
15.png,nasal bone,154,306,168,344
15.png,IT,338,192,360,257
15.png,CM,369,154,397,266
846.png,CM,322,297,354,424
846.png,IT,290,333,314,402
846.png,NT,360,2,407,423
846.png,midbrain,233,371,318,454
846.png,nasal bone,92,238,104,278
846.png,thalami,151,345,227,428
1537.png,nasal bone,105,316,123,361
1537.png,nasal skin,94,329,103,360
1537.png,nasal tip,87,357,96,394
1537.png,thalami,179,178,250,276
1537.png,NT,376,190,406,675
1537.png,midbrain,252,151,336,244
1537.png,IT,305,219,336,287
1537.png,CM,333,186,364,289
1.png,thalami,172,418,246,511
1.png,NT,390,121,422,449
1.png,midbrain,248,455,350,527
1.png,CM,357,389,382,505
1.png,IT,317,398,348,473
1.png,nasal tip,92,297,102,328
1.png,nasal skin,99,324,110,351
1.png,nasal bone,107,316,121,362
1.png,palate,145,279,212,380
210.png,CM,338,315,384,467
210.png,IT,307,371,340,428
210.png,midbrain,268,408,345,469
210.png,NT,377,10,411,296
210.png,thalami,192,374,263,461
210.png,nasal tip,83,261,94,300
210.png,nasal skin,90,284,101,321
210.png,nasal bone,105,292,114,326
210.png,palate,135,231,204,338
211.png,midbrain,300,305,366,347
211.png,palate,204,164,258,238
211.png,thalami,240,274,298,356
211.png,CM,365,246,388,306
211.png,IT,332,253,361,306
211.png,NT,390,75,410,270
211.png,nasal tip,170,192,178,215
212.png,midbrain,224,425,308,474
212.png,NT,359,286,385,457
212.png,thalami,163,386,219,469
212.png,IT,284,381,309,453
212.png,CM,308,350,349,456
213.png,NT,406,265,450,519
213.png,thalami,179,200,260,306
213.png,nasal tip,113,405,122,436
213.png,nasal skin,116,392,124,409
213.png,nasal bone,125,365,138,408
213.png,midbrain,267,186,370,249
213.png,palate,171,335,222,456
213.png,CM,368,186,389,315
213.png,IT,330,222,363,297
214.png,IT,327,266,370,324
214.png,thalami,195,218,281,305
214.png,NT,398,296,415,483
214.png,nasal tip,113,399,122,428
214.png,nasal skin,118,374,128,405
214.png,nasal bone,129,365,142,406
214.png,palate,165,365,232,456
214.png,midbrain,287,229,374,285
214.png,CM,361,291,389,372
215.png,IT,332,176,367,235
215.png,CM,368,135,397,268
215.png,NT,381,197,432,674
215.png,thalami,195,156,263,246
215.png,nasal tip,121,330,131,369
215.png,nasal bone,134,306,151,348
215.png,palate,170,281,238,392
215.png,midbrain,267,120,369,204
16.png,thalami,200,369,280,484
16.png,nasal tip,103,265,112,286
16.png,nasal skin,112,294,121,319
16.png,nasal bone,122,290,136,324
16.png,palate,151,255,222,332
16.png,CM,364,297,395,373
16.png,midbrain,275,418,370,478
16.png,IT,338,378,372,433
16.png,NT,394,0,416,443
847.png,thalami,191,405,239,480
847.png,NT,352,309,368,433
847.png,midbrain,244,428,312,489
847.png,IT,291,398,319,442
847.png,nasal tip,117,309,126,332
847.png,nasal skin,120,333,128,351
847.png,CM,309,397,345,463
847.png,nasal bone,129,331,142,364
847.png,palate,153,291,212,370
848.png,thalami,163,448,243,540
848.png,NT,363,73,420,510
848.png,midbrain,247,495,341,566
848.png,CM,344,371,364,505
848.png,IT,303,405,341,504
1528.png,nasal bone,145,314,160,355
1528.png,midbrain,292,178,381,239
1528.png,NT,390,258,438,630
1528.png,thalami,215,187,288,283
1528.png,CM,371,212,403,321
1528.png,palate,176,312,241,417
1528.png,IT,339,232,380,291
1528.png,nasal skin,136,326,146,357
1528.png,nasal tip,132,350,139,380
216.png,NT,361,213,399,467
216.png,CM,340,304,361,354
216.png,thalami,195,227,260,293
216.png,nasal bone,127,351,139,382
216.png,nasal tip,117,389,124,412
216.png,IT,305,247,342,319
216.png,palate,161,339,218,438
216.png,nasal skin,118,360,128,384
216.png,midbrain,263,221,336,262
217.png,palate,126,193,184,291
217.png,NT,333,10,369,406
217.png,midbrain,213,361,288,414
217.png,IT,267,319,285,381
217.png,nasal tip,80,221,86,241
217.png,nasal skin,83,241,89,262
217.png,nasal bone,91,247,100,277
217.png,thalami,151,328,211,421
217.png,CM,284,316,317,412
218.png,thalami,168,352,239,445
218.png,NT,387,175,421,339
218.png,midbrain,241,388,334,468
218.png,IT,295,329,333,400
218.png,CM,336,342,364,458
219.png,nasal skin,107,398,115,425
219.png,NT,360,262,400,599
219.png,thalami,183,220,244,290
219.png,nasal tip,103,416,112,445
219.png,CM,339,263,363,364
219.png,midbrain,251,204,336,267
219.png,IT,298,254,334,330
220.png,nasal skin,90,320,99,345
220.png,nasal tip,87,337,94,368
220.png,palate,139,289,200,392
220.png,thalami,164,170,240,256
220.png,CM,333,211,369,295
220.png,IT,300,201,331,272
220.png,midbrain,246,169,328,227
220.png,NT,378,212,404,372
220.png,nasal bone,107,293,114,342
17.png,nasal skin,117,329,126,353
17.png,nasal bone,123,314,137,349
17.png,nasal tip,113,346,122,377
17.png,palate,166,302,218,392
17.png,CM,341,212,367,263
17.png,thalami,177,167,246,259
17.png,NT,387,211,411,349
17.png,midbrain,251,160,332,225
17.png,IT,311,205,329,262
849.png,IT,324,248,365,316
849.png,midbrain,263,182,370,263
849.png,CM,371,258,402,331
849.png,thalami,181,194,258,301
849.png,NT,416,238,453,459
850.png,palate,165,238,236,346
850.png,nasal bone,138,298,150,328
850.png,nasal skin,125,286,134,320
850.png,midbrain,277,432,366,496
850.png,CM,360,346,396,499
850.png,IT,333,370,362,452
850.png,NT,407,114,447,449
850.png,thalami,205,392,276,483
850.png,nasal tip,120,263,130,298
1529.png,nasal skin,114,314,121,331
1529.png,nasal bone,122,309,134,340
1529.png,nasal tip,107,291,114,312
1529.png,IT,320,367,359,436
1529.png,CM,366,343,382,440
1529.png,palate,147,275,222,344
1529.png,midbrain,272,420,359,490
1529.png,NT,398,244,423,406
1529.png,thalami,198,385,270,486
221.png,IT,293,194,326,263
221.png,midbrain,258,146,334,224
221.png,NT,370,207,396,467
221.png,thalami,169,162,253,255
221.png,CM,329,180,355,285
221.png,nasal bone,101,308,111,342
222.png,thalami,157,182,236,270
222.png,nasal skin,50,310,61,337
222.png,nasal bone,63,308,75,342
222.png,palate,89,305,162,396
222.png,CM,311,228,338,300
222.png,IT,278,228,317,286
222.png,midbrain,233,180,319,236
222.png,NT,349,194,401,543
222.png,nasal tip,41,341,50,368
223.png,nasal tip,81,273,92,296
223.png,nasal bone,98,303,110,333
223.png,palate,131,265,204,350
223.png,nasal skin,86,292,96,319
223.png,CM,335,386,358,498
223.png,thalami,157,412,233,502
223.png,NT,299,4,400,464
223.png,midbrain,237,442,333,516
223.png,IT,302,394,330,452
224.png,nasal skin,124,352,137,373
224.png,CM,348,177,377,277
224.png,IT,308,196,340,257
224.png,midbrain,248,149,345,214
224.png,NT,386,200,421,565
224.png,thalami,168,169,246,264
224.png,nasal bone,135,333,144,370
224.png,palate,171,311,230,410
224.png,nasal tip,121,367,130,390
225.png,IT,326,378,357,461
225.png,midbrain,273,451,351,496
225.png,CM,335,340,386,520
225.png,NT,400,111,436,460
225.png,nasal tip,131,287,137,313
225.png,nasal skin,136,305,142,337
225.png,thalami,199,403,270,486
225.png,palate,184,266,242,362
225.png,nasal bone,143,300,155,347
18.png,nasal tip,85,307,93,341
18.png,thalami,156,419,240,531
18.png,NT,340,2,392,515
18.png,midbrain,245,489,337,556
18.png,IT,303,448,333,499
18.png,CM,331,401,354,467
851.png,nasal bone,118,299,127,327
851.png,nasal skin,112,296,117,318
851.png,thalami,158,384,230,459
851.png,NT,312,27,373,433
851.png,IT,282,372,308,432
851.png,nasal tip,108,280,115,299
851.png,midbrain,233,420,314,474
851.png,CM,312,336,343,457
852.png,thalami,161,203,238,288
852.png,NT,381,212,411,440
852.png,midbrain,242,179,326,243
852.png,IT,297,230,319,313
852.png,nasal skin,86,368,95,398
852.png,CM,334,244,356,322
852.png,nasal tip,81,395,90,424
852.png,palate,135,338,190,434
852.png,nasal bone,97,355,106,396
853.png,palate,131,245,200,358
853.png,nasal bone,101,257,110,296
853.png,nasal skin,88,278,97,297
853.png,nasal tip,83,295,90,318
853.png,CM,335,106,380,243
853.png,thalami,175,120,252,210
853.png,NT,387,135,412,345
853.png,midbrain,258,90,349,181
853.png,IT,316,161,349,214
1530.png,palate,185,297,230,368
1530.png,nasal tip,149,321,157,348
1530.png,nasal skin,154,308,161,326
1530.png,nasal bone,160,305,170,334
1530.png,NT,348,227,372,497
1530.png,midbrain,261,183,330,231
1530.png,thalami,200,188,254,262
1530.png,IT,297,212,325,279
1530.png,CM,327,217,342,297
226.png,CM,363,341,407,449
226.png,IT,328,376,370,444
226.png,midbrain,276,439,385,520
226.png,nasal tip,53,299,64,334
226.png,nasal skin,64,330,77,367
226.png,palate,109,265,196,372
226.png,nasal bone,75,323,93,372
226.png,NT,414,3,450,416
226.png,thalami,181,412,272,524
227.png,thalami,170,194,231,256
227.png,NT,343,239,364,404
227.png,midbrain,232,193,296,239
227.png,IT,277,223,297,281
227.png,CM,305,214,325,294
227.png,nasal bone,112,321,121,352
227.png,nasal tip,101,349,109,370
227.png,palate,141,307,198,392
227.png,nasal skin,104,336,113,353
228.png,nasal bone,77,338,86,386
228.png,CM,305,210,349,328
228.png,IT,279,214,308,304
228.png,midbrain,226,175,312,246
228.png,NT,356,218,387,378
228.png,thalami,152,180,223,277
228.png,palate,107,299,186,406
228.png,nasal skin,66,310,77,367
228.png,nasal tip,63,361,70,392
229.png,NT,409,341,443,601
229.png,thalami,204,273,273,341
229.png,midbrain,278,261,362,326
229.png,nasal skin,114,418,121,441
229.png,nasal bone,123,416,132,444
229.png,palate,149,406,219,488
229.png,CM,362,314,399,396
229.png,nasal tip,108,441,116,462
229.png,IT,326,307,361,375
230.png,thalami,159,376,224,456
230.png,NT,350,64,370,425
230.png,midbrain,227,420,313,482
230.png,CM,312,344,351,414
230.png,nasal skin,94,294,103,319
230.png,nasal bone,104,291,116,328
230.png,palate,137,245,189,344
230.png,nasal tip,93,271,100,296
230.png,IT,282,382,309,439
19.png,nasal tip,101,350,109,372
19.png,thalami,153,171,234,275
19.png,NT,371,227,397,329
19.png,IT,283,205,321,263
19.png,CM,325,179,347,290
19.png,midbrain,237,164,322,232
19.png,palate,149,297,204,385
854.png,nasal skin,118,278,127,305
854.png,CM,355,321,380,376
854.png,IT,323,328,350,398
854.png,midbrain,276,373,355,431
854.png,thalami,204,347,273,433
